0000000000,-0.01766
0000000010,-0.015276
0000000020,-0.019186
0000000030,-0.016993
0000000040,-0.018614
0000000050,-0.018805
0000000060,-0.016468
0000000070,-0.016754
0000000080,-0.017565
0000000090,-0.018805
0000000100,-0.016945
0000000110,-0.017946
0000000120,-0.01704
0000000130,-0.020235
0000000140,-0.014179
0000000150,-0.0189
0000000160,-0.016039
0000000170,-0.019902
0000000180,-0.014847
0000000190,-0.017756
0000000200,-0.016707
0000000210,-0.018566
0000000220,-0.017517
0000000230,-0.017374
0000000240,-0.018805
0000000250,-0.018471
0000000260,-0.015801
0000000270,-0.015991
0000000280,-0.019139
0000000290,-0.017803
0000000300,-0.017136
0000000310,-0.018423
0000000320,-0.017517
0000000330,-0.017613
0000000340,-0.018614
0000000350,-0.018519
0000000360,-0.016468
0000000370,-0.017803
0000000380,-0.016993
0000000390,-0.01704
0000000400,-0.017565
0000000410,-0.018137
0000000420,-0.0189
0000000430,-0.017184
0000000440,-0.016278
0000000450,-0.017613
0000000460,-0.017899
0000000470,-0.017327
0000000480,-0.018996
0000000490,-0.017803
0000000500,-0.017517
0000000510,-0.017946
0000000520,-0.01685
0000000530,-0.018328
0000000540,-0.01747
0000000550,-0.016039
0000000560,-0.016945
0000000570,-0.016087
0000000580,-0.019472
0000000590,-0.019139
0000000600,-0.014799
0000000610,-0.019663
0000000620,-0.015515
0000000630,-0.018996
0000000640,-0.015944
0000000650,-0.020474
0000000660,-0.020521
0000000670,-0.017422
0000000680,-0.025147
0000000690,-0.011652
0000000700,-0.016707
0000000710,-0.022333
0000000720,-0.017756
0000000730,-0.017803
0000000740,-0.018376
0000000750,-0.018519
0000000760,-0.013464
0000000770,-0.027769
0000000780,-0.020998
0000000790,-0.020378
0000000800,-0.015038
0000000810,-0.021904
0000000820,-0.010985
0000000830,-0.020092
0000000840,-0.023335
0000000850,-0.017088
0000000860,-0.016564
0000000870,-0.023144
0000000880,-0.018137
0000000890,-0.023335
0000000900,-0.013083
0000000910,-0.026053
0000000920,-0.015038
0000000930,-0.01623
0000000940,-0.015419
0000000950,-0.019663
0000000960,-0.017756
0000000970,-0.019139
0000000980,-0.022715
0000000990,-0.016278
0000001000,-0.019997
0000001010,-0.016182
0000001020,-0.017136
0000001030,-0.01704
0000001040,-0.014275
0000001050,-0.015801
0000001060,-0.019568
0000001070,-0.018709
0000001080,-0.018662
0000001090,-0.019234
0000001100,-0.018709
0000001110,-0.019091
0000001120,-0.016087
0000001130,-0.015372
0000001140,-0.018805
0000001150,-0.010079
0000001160,-0.020378
0000001170,-0.017946
0000001180,-0.018519
0000001190,-0.01294
0000001200,-0.019663
0000001210,-0.018948
0000001220,0.016433
0000001230,-0.04093
0000001240,0.004274
0000001250,0.017006
0000001260,-0.001877
0000001270,-0.006312
0000001280,0.014526
0000001290,-0.019663
0000001300,-0.030773
0000001310,0.013811
0000001320,-0.030583
0000001330,0.001032
0000001340,-0.000876
0000001350,-0.059002
0000001360,-0.03764
0000001370,-0.008744
0000001380,-0.044459
0000001390,-0.012177
0000001400,-0.003355
0000001410,-0.016278
0000001420,-0.038975
0000001430,0.00437
0000001440,-0.029009
0000001450,-0.003069
0000001460,-0.032156
0000001470,-0.024813
0000001480,-0.029391
0000001490,-0.005406
0000001500,-0.027912
0000001510,-0.021237
0000001520,-0.026005
0000001530,-0.026673
0000001540,-0.027006
0000001550,-0.019186
0000001560,-0.031346
0000001570,-0.006884
0000001580,-0.018566
0000001590,-0.00531
0000001600,-0.019377
0000001610,-0.010889
0000001620,-0.014466
0000001630,-0.011366
0000001640,-0.014418
0000001650,-0.01809
0000001660,-0.013846
0000001670,-0.024861
0000001680,-0.023001
0000001690,-0.019615
0000001700,-0.017517
0000001710,-0.019234
0000001720,-0.017088
0000001730,-0.023859
0000001740,-0.011795
0000001750,-0.011223
0000001760,-0.020569
0000001770,-0.023192
0000001780,-0.015562
0000001790,-0.022095
0000001800,-0.023812
0000001810,-0.019186
0000001820,-0.017517
0000001830,-0.021713
0000001840,-0.013512
0000001850,-0.016468
0000001860,-0.01623
0000001870,-0.023859
0000001880,-0.018709
0000001890,-0.015705
0000001900,-0.02219
0000001910,-0.017136
0000001920,-0.01623
0000001930,-0.008744
0000001940,-0.019091
0000001950,-0.015801
0000001960,-0.013607
0000001970,-0.012654
0000001980,-0.021523
0000001990,-0.018376
0000002000,-0.018233
0000002010,-0.011938
0000002020,-0.022619
0000002030,-0.009363
0000002040,-0.020331
0000002050,-0.010889
0000002060,-0.021713
0000002070,-0.019949
0000002080,-0.023525
0000002090,-0.017946
0000002100,-0.0086
0000002110,-0.01704
0000002120,-0.010174
0000002130,-0.018471
0000002140,-0.019091
0000002150,-0.020998
0000002160,-0.025624
0000002170,-0.011271
0000002180,-0.013035
0000002190,-0.024622
0000002200,-0.016421
0000002210,-0.017517
0000002220,-0.018996
0000002230,-0.015085
0000002240,-0.020664
0000002250,-0.016945
